Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
913481,459,9/1/2015 6:01,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 6:09,2nd at Folsom,62,579,Subscriber,94002
913538,535,9/1/2015 7:08,Harry Bridges Plaza (Ferry Building),50,9/1/2015 7:17,Embarcadero at Sansome,60,509,Subscriber,94530
913693,445,9/1/2015 8:06,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 8:13,Howard at 2nd,63,468,Subscriber,94402
913697,330,9/1/2015 8:06,Embarcadero at Sansome,60,9/1/2015 8:12,Davis at Jackson,42,363,Subscriber,94111
913707,970,9/1/2015 8:08,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 8:24,Commercial at Montgomery,45,356,Subscriber,94070
913748,252,9/1/2015 8:16,Market at Sansome,77,9/1/2015 8:20,Temporary Transbay Terminal (Howard at Beale),55,465,Subscriber,94117
913778,539,9/1/2015 8:24,Civic Center BART (7th at Market),72,9/1/2015 8:33,Steuart at Market,74,315,Subscriber,94103
913838,577,9/1/2015 8:40,Embarcadero at Bryant,54,9/1/2015 8:49,Commercial at Montgomery,45,415,Subscriber,94105
914013,689,9/1/2015 9:13,Golden Gate at Polk,59,9/1/2015 9:25,Yerba Buena Center of the Arts (3rd @ Howard),68,420,Subscriber,94043
914126,860,9/1/2015 9:48,Townsend at 7th,65,9/1/2015 10:03,Powell at Post (Union Square),71,613,Subscriber,94015
914176,1141,9/1/2015 10:10,Mechanics Plaza (Market at Battery),75,9/1/2015 10:29,2nd at Townsend,61,537,Subscriber,94945
914197,1292,9/1/2015 10:24,Embarcadero at Sansome,60,9/1/2015 10:45,Golden Gate at Polk,59,517,Subscriber,94133
914240,234,9/1/2015 11:27,Temporary Transbay Terminal (Howard at Beale),55,9/1/2015 11:31,Embarcadero at Bryant,54,509,Subscriber,94010
914385,478,9/1/2015 13:58,Market at 4th,76,9/1/2015 14:06,Powell at Post (Union Square),71,485,Customer,77019
914393,158,9/1/2015 14:05,Beale at Market,56,9/1/2015 14:08,Clay at Battery,41,427,Subscriber,94010
914415,160,9/1/2015 14:30,2nd at South Park,64,9/1/2015 14:33,2nd at Folsom,62,347,Subscriber,94040
914435,185,9/1/2015 14:57,Civic Center BART (7th at Market),72,9/1/2015 15:00,Market at 4th,76,449,Subscriber,94608
914481,864,9/1/2015 15:33,Embarcadero at Sansome,60,9/1/2015 15:48,San Francisco Caltrain (Townsend at 4th),70,677,Subscriber,95129
914512,774,9/1/2015 15:55,Beale at Market,56,9/1/2015 16:08,San Francisco Caltrain (Townsend at 4th),70,340,Customer,95125
914593,470,9/1/2015 16:27,Powell at Post (Union Square),71,9/1/2015 16:34,Yerba Buena Center of the Arts (3rd @ Howard),68,552,Customer,43214
914608,1507,9/1/2015 16:34,Stanford in Redwood City,25,9/1/2015 16:59,Palo Alto Caltrain Station,34,689,Subscriber,95131
914769,498,9/1/2015 17:15,Embarcadero at Sansome,60,9/1/2015 17:23,Embarcadero at Folsom,51,378,Subscriber,94124
